db_id	protein_name
antitoxin_AT10077	yefM
antitoxin_AT10079	PrpA
antitoxin_AT1008	paaA
antitoxin_AT10088	TfiA
antitoxin_AT10089	VapX
antitoxin_AT10090	mazE
antitoxin_AT10091	ImmA
antitoxin_AT10092	ImmA
antitoxin_AT10093	phd
antitoxin_AT10095	relB
antitoxin_AT10096	mazE
antitoxin_AT10097	PumB
antitoxin_AT10098	hipB
antitoxin_AT10099	ccdA
antitoxin_AT101	mazE
antitoxin_AT10100	PfiA
antitoxin_AT10101	mazE
antitoxin_AT10102	slvA
antitoxin_AT10104	HipB1
antitoxin_AT10105	RhsI
antitoxin_AT10106	hipB
antitoxin_AT10108	dinJ
antitoxin_AT10109	dinJ
antitoxin_AT10111	dinJ
antitoxin_AT10112	dinJ
antitoxin_AT10114	TsaA
antitoxin_AT10116	TscA
antitoxin_AT10117	TsdA
antitoxin_AT10118	EcnA
antitoxin_AT10119	parD
antitoxin_AT10120	KacA
antitoxin_AT10121	HipS
antitoxin_AT10122	hicB
antitoxin_AT10123	relB
antitoxin_AT10128	CbtA
antitoxin_AT10131	mazE
antitoxin_AT10132	hicB
antitoxin_AT10133	higA
antitoxin_AT10134	NpoA
antitoxin_AT10136	relB
antitoxin_AT10137	relB
antitoxin_AT10138	vapB
antitoxin_AT10139	relB
antitoxin_AT10140	mazE
antitoxin_AT10141	relB
antitoxin_AT10142	relB
antitoxin_AT10143	relB
antitoxin_AT10144	pezA
antitoxin_AT10145	ParS
antitoxin_AT10150	hicB
antitoxin_AT10151	TsxB
antitoxin_AT10153	higA
antitoxin_AT10157	relB
antitoxin_AT10158	relB
antitoxin_AT10159	parD
antitoxin_AT10160	pemI
antitoxin_AT10161	higA
antitoxin_AT10162	mazE
antitoxin_AT10163	parD
antitoxin_AT10164	smuA
antitoxin_AT10166	relB
antitoxin_AT10167	ORF10
antitoxin_AT10168	hicB
antitoxin_AT10169	higA
antitoxin_AT10170	ng_epsilon1
antitoxin_AT10177	mazE
antitoxin_AT10178	sam-AT
antitoxin_AT10179	phd
antitoxin_AT10180	AbiEi
antitoxin_AT10181	relB
antitoxin_AT10182	relB
antitoxin_AT10183	epsilon
antitoxin_AT10184	Fti
antitoxin_AT10185	Fic
antitoxin_AT10186	VbhA
antitoxin_AT10187	MvpA
antitoxin_AT10188	brnA
antitoxin_AT10190	relB
antitoxin_AT10191	relB
antitoxin_AT10192	LOG
antitoxin_AT10197	vagC
antitoxin_AT10198	ykfI
antitoxin_AT10199	ypjJ
antitoxin_AT103	higA
antitoxin_AT1038	dinJ
antitoxin_AT1039	hicB
antitoxin_AT1040	hipB
antitoxin_AT1041	relB
antitoxin_AT1042	cbeA
antitoxin_AT1043	yefM
antitoxin_AT1044	mazE
antitoxin_AT1045	mqsA
antitoxin_AT1046	higA
antitoxin_AT1047	prlF
antitoxin_AT1049	chpS
antitoxin_AT105	parD
antitoxin_AT106	mbcA
antitoxin_AT1066	vapB
antitoxin_AT1067	toxA
antitoxin_AT107	vapB
antitoxin_AT1070	vapB
antitoxin_AT1076	pemI
antitoxin_AT111	vapB
antitoxin_AT112	vapB
antitoxin_AT114	vapB
antitoxin_AT116	vapB
antitoxin_AT117	vapB
antitoxin_AT119	vapB
antitoxin_AT120	novel[toxin]
antitoxin_AT121	vapB
antitoxin_AT1222	Xre
antitoxin_AT123	vapB
antitoxin_AT124	relB
antitoxin_AT125	vapB
antitoxin_AT127	higA
antitoxin_AT129	vapB
antitoxin_AT130	relB
antitoxin_AT131	vapB
antitoxin_AT132	vapB
antitoxin_AT1325	hicA
antitoxin_AT134	mazE
antitoxin_AT137	mazE
antitoxin_AT1499	pemI
antitoxin_AT1547	brnA
antitoxin_AT162	mqsA
antitoxin_AT164	parD
antitoxin_AT165	GNAT
antitoxin_AT166	relB
antitoxin_AT167	BrnT
antitoxin_AT169	parD
antitoxin_AT171	higA
antitoxin_AT172	relB
antitoxin_AT1729	pasA
antitoxin_AT173	relB
antitoxin_AT174	higA
antitoxin_AT175	relB
antitoxin_AT177	TacA
antitoxin_AT178	relB
antitoxin_AT179	relB
antitoxin_AT180	parD
antitoxin_AT1818	DUF2281
antitoxin_AT182	vapB
antitoxin_AT183	PfiA
antitoxin_AT1852	pemI
antitoxin_AT190	ccdA
antitoxin_AT199	ataR
antitoxin_AT200	ataR
antitoxin_AT2224	brnA
antitoxin_AT226	relB
antitoxin_AT228	parD
antitoxin_AT229	relB
antitoxin_AT233	parD
antitoxin_AT28	relB
antitoxin_AT301	higA
antitoxin_AT3011	Xre
antitoxin_AT303	higA
antitoxin_AT307	Xre
antitoxin_AT309	relB
antitoxin_AT310	yefM
antitoxin_AT313	PP_4151
antitoxin_AT314	mqsA
antitoxin_AT3165	vapB
antitoxin_AT325	higA
antitoxin_AT326	relB
antitoxin_AT3306	vapB
antitoxin_AT3484	Xre
antitoxin_AT3593	hicB
antitoxin_AT3856	vapB
antitoxin_AT4244	Derived
antitoxin_AT4250	vapB
antitoxin_AT439	vapB
antitoxin_AT443	tacA
antitoxin_AT4502	itaR
antitoxin_AT4914	vapB
antitoxin_AT4918	relB
